kina	eck
3	0
29	0
38	0
0	0
18	0
6	0
18	0
11	0
19	0
32	0
33	0
133	0
19	0
0	0
13	0
5	0
5	0
27	0
39	0
110	0
31	0
50	0
0	0
34	0
220	0
78	0
27	0
23	1
15	1
15	1
35	2
34	2
15	2
19	2
16	2
0	2
14	3
115	3
22	6
53	8
15	8
64	11
28	12
52	12
14	15
0	16
11	19
11	20
20	20
14	20
7	22
5	24
0	25
12	26
20	28
11	30
11	30
20	31
13	33
52	33
19	33
29	33
24	34
25	35
0	38
19	38
0	39
35	40
0	44
0	45
28	46
4	48
0	49
29	56
2	57
15	57
11	57
0	58
28	58
0	59
9	59
0	61
1	64
0	67
0	70
0	72
5	73
2	79
3	81
8	81
0	84
0	87
25	88
2	89
28	94
2	96
4	96
29	103
13	118
0	137
4	157
5	168
50	203
