"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",5,30,-3,3,10000,0.6415,0.972,0.7197,0.0754,14.860864691547,13.5353993602846,0
"result.2","Neyman",5,30,-3,3,10000,0.6823,0.958,0.9597,0.0496,10.6253530477365,15.9070036821282,0
"result.3","Poisson lognormal",5,30,-3,3,10000,0.685,0.9594,0.9572,0.0489,10.3741680830879,15.945597748217,0
"result.4","Negbin",5,30,0.1,2.2,10000,0.7946,0.9503,0.9986,0.7965,5.83789501648958,3.06744954452527,0
"result.5","Neyman",5,30,0.1,2.2,10000,0.8731,0.9532,1,0.8148,4.61184659754342,3.11480954627422,0
"result.6","Poisson lognormal",5,30,0.1,2.2,10000,0.8774,0.9487,1,0.815,4.65238697273282,3.11078151079263,0
"result.7","Negbin",5,30,2.3,0.7,10000,0.889,0.9533,0.9998,0.4434,5.47441703919444,1.4798493772714,0
"result.8","Neyman",5,30,2.3,0.7,10000,0.9113,0.9551,0.9998,0.4542,5.41835318533879,1.49415871752031,0
"result.9","Poisson lognormal",5,30,2.3,0.7,10000,0.9164,0.9542,0.9999,0.4505,5.42470033510851,1.49081915203174,0
"result.10","Negbin",5,100,-3,3,10000,0.6288,0.95,0.9413,0.4669,5.51955350717337,6.51097411958745,0
"result.11","Neyman",5,100,-3,3,10000,0.7693,0.9645,0.9916,0.3767,3.95317196174885,6.93999136932753,0
"result.12","Poisson lognormal",5,100,-3,3,10000,0.7742,0.9655,0.9918,0.3724,3.95567665199453,6.93800709253409,0
"result.13","Negbin",5,100,0.1,2.2,10000,0.8486,0.9513,1,0.9992,3.47406989303638,1.69543149973483,0
"result.14","Neyman",5,100,0.1,2.2,10000,0.8988,0.9531,1,0.9996,2.57511720595105,1.69761569652662,0
"result.15","Poisson lognormal",5,100,0.1,2.2,10000,0.8958,0.952,1,0.9998,2.55934975321374,1.69785075349697,0
"result.16","Negbin",5,100,2.3,0.7,10000,0.9134,0.9476,1,0.9256,2.93869714776642,0.809278704886844,0
"result.17","Neyman",5,100,2.3,0.7,10000,0.934,0.9521,1,0.921,2.74761242887342,0.812027917704768,0
"result.18","Poisson lognormal",5,100,2.3,0.7,10000,0.9294,0.9556,1,0.9287,2.73922186309046,0.810713264123599,0
