V1,V2,V3,V4,V5,V6,V7,V8
Negbin,1,30,-3,3,10000,0.9942,0.9697,0.0058,0.4754,2.20013991102183,6.04317820865291,0
Negbin,3,30,-3,3,10000,0.9496,0.9803,0.3552,0.1271,10.5701342126735,11.4365573345235,0
Negbin,5,30,-3,3,10000,0.9241,0.985,0.503,0.0629,20.1604724166106,16.6756599317168,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,30,-3,3,10000,0.984,0.9873,0.549,0.0751,16.0352878651002,13.4379584787617,0
Neyman,5,30,-3,3,10000,0.9708,0.9916,0.8599,0.0188,42.3463071968908,21.8111350729004,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,30,-3,3,10000,0.9848,0.9851,0.5547,0.0714,16.0398875238709,13.3189347512839,0
Poisson lognormal,5,30,-3,3,10000,0.9673,0.9919,0.8607,0.0215,43.2299178421488,22.1999058999211,0
Negbin,1,30,0.1,2.2,10000,0.9228,0.9544,0.0772,1,1.01671282850571,1.37928757331102,0
Negbin,3,30,0.1,2.2,10000,0.9076,0.9483,0.9551,0.9458,3.72018812486803,2.38909240508049,0
Negbin,5,30,0.1,2.2,10000,0.8892,0.9534,0.9973,0.8015,6.97894891055373,3.06872093176189,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,30,0.1,2.2,10000,0.9353,0.9478,0.9868,0.9553,3.38633090990925,2.4034338938536,0
Neyman,5,30,0.1,2.2,10000,0.9472,0.9563,0.9999,0.805,6.29448759499115,3.16349549735164,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,30,0.1,2.2,10000,0.937,0.949,0.9869,0.9585,3.39933564287622,2.40832180580022,0
Poisson lognormal,5,30,0.1,2.2,10000,0.9503,0.9521,1,0.8029,6.18986802713843,3.14872224749578,0
Negbin,1,30,2.3,0.7,10000,0.9126,0.9499,0.0874,0.9888,1.02228848491123,0.655682637225713,0
Negbin,3,30,2.3,0.7,10000,0.9145,0.9516,0.9817,0.678,3.14507527966431,1.13207719481566,0
Negbin,5,30,2.3,0.7,10000,0.9137,0.9497,0.9997,0.4663,5.50784706815512,1.46418847728009,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,30,2.3,0.7,10000,0.9187,0.9459,0.9839,0.673,3.05843908500721,1.13684603722618,0
Neyman,5,30,2.3,0.7,10000,0.928,0.9485,0.9997,0.4558,5.09598631806078,1.47102174985225,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,30,2.3,0.7,10000,0.923,0.9474,0.9863,0.6777,3.08437108643825,1.13447688662116,0
Poisson lognormal,5,30,2.3,0.7,10000,0.9307,0.9482,1,0.4587,5.05006981649464,1.46750972646571,0
Negbin,1,100,-3,3,10000,0.9996,0.9596,4e-04,0.9878,1.11688657767149,3.07303341221978,0
Negbin,3,100,-3,3,10000,0.9609,0.9689,0.7052,0.5947,6.55684403641955,5.49736838851614,0
Negbin,5,100,-3,3,10000,0.9404,0.9699,0.8483,0.3667,14.714493132376,7.35094791388501,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,100,-3,3,10000,0.9992,0.9697,0.9045,0.5435,7.21251921886288,5.74354300294638,0
Neyman,5,100,-3,3,10000,0.9996,0.9808,0.9808,0.2176,19.8137363840344,8.20455612961609,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,100,-3,3,10000,0.9986,0.9713,0.9086,0.5307,7.26709641803027,5.76224970892376,0
Poisson lognormal,5,100,-3,3,10000,0.9998,0.983,0.9845,0.2256,19.8006486583614,8.24492817550512,0
Negbin,1,100,0.1,2.2,10000,0.95,0.9503,0.05,1,0.573832078946717,0.756817494255989,0
Negbin,3,100,0.1,2.2,10000,0.9505,0.9513,1,1,2.40470943040611,1.31562699878861,0
Negbin,5,100,0.1,2.2,10000,0.9462,0.9528,1,0.9985,4.87911973031557,1.70204680093626,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,100,0.1,2.2,10000,0.9614,0.9539,1,1,2.06411051748082,1.31795439896811,0
Neyman,5,100,0.1,2.2,10000,0.9748,0.9521,1,0.9997,3.80006632963419,1.71063859960895,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,100,0.1,2.2,10000,0.9641,0.9497,1,1,2.06705862866844,1.31768807796171,0
Poisson lognormal,5,100,0.1,2.2,10000,0.9753,0.9535,1,0.9996,3.78425160519619,1.70783994936282,0
Negbin,1,100,2.3,0.7,10000,0.9426,0.9503,0.0574,1,0.55643460685367,0.361336996297695,0
Negbin,3,100,2.3,0.7,10000,0.9457,0.9492,1,0.9925,1.82904833245953,0.625435753241998,0
Negbin,5,100,2.3,0.7,10000,0.9459,0.9511,1,0.9241,3.36398389786097,0.809460034237668,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,100,2.3,0.7,10000,0.9491,0.9511,1,0.9927,1.71459343879752,0.624398578297999,0
Neyman,5,100,2.3,0.7,10000,0.9515,0.9502,1,0.9234,2.94406651341443,0.809795240451543,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,100,2.3,0.7,10000,0.9491,0.9512,1,0.9936,1.72317730426091,0.625419458435888,0
Poisson lognormal,5,100,2.3,0.7,10000,0.9501,0.949,1,0.9246,2.93047347836708,0.81061108232011,0
Negbin,1,1000,-3,3,10000,0.9998,0.9507,2e-04,1,0.348371474787959,0.935045381232018,0
Negbin,3,1000,-3,3,10000,0.9814,0.9541,1,1,2.53280612826631,1.62792595618327,0
Negbin,5,1000,-3,3,10000,0.9692,0.9548,1,0.9992,5.49216849833253,2.11586030466563,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,1000,-3,3,10000,0.9998,0.9548,1,1,2.07481471663846,1.6367636197953,0
Neyman,5,1000,-3,3,10000,1,0.9558,1,0.9999,4.2745605355479,2.1382012804099,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,1000,-3,3,10000,0.9999,0.9522,1,1,2.08130179027755,1.63687969912929,0
Poisson lognormal,5,1000,-3,3,10000,0.9999,0.9535,1,1,4.24937757464718,2.13366740611055,0
Negbin,1,1000,0.1,2.2,10000,0.9646,0.9523,0.0354,1,0.18860596413148,0.23936239410252,0
Negbin,3,1000,0.1,2.2,10000,0.9827,0.9527,1,1,0.892433180844567,0.414845865085846,0
Negbin,5,1000,0.1,2.2,10000,0.9806,0.9514,1,1,1.87382551648841,0.536472178553051,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,1000,0.1,2.2,10000,0.9822,0.9534,1,1,0.715607832012747,0.415052257172092,0
Neyman,5,1000,0.1,2.2,10000,0.9913,0.9497,1,1,1.31591235782358,0.53634499595299,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,1000,0.1,2.2,10000,0.9848,0.9469,1,1,0.714617417338611,0.415034321727368,0
Poisson lognormal,5,1000,0.1,2.2,10000,0.9904,0.9497,1,1,1.31120490397682,0.535971608522032,0
Negbin,1,1000,2.3,0.7,10000,0.9528,0.9481,0.0472,1,0.177770511464301,0.114287288233269,0
Negbin,3,1000,2.3,0.7,10000,0.965,0.9513,1,1,0.621362027222782,0.198083690829892,0
Negbin,5,1000,2.3,0.7,10000,0.971,0.9499,1,1,1.16927024506838,0.255745004559345,0
NA,NA,NA,NA,NA,NA,NA,NA
Neyman,3,1000,2.3,0.7,10000,0.9619,0.9494,1,1,0.567627928435592,0.198055888277356,0
Neyman,5,1000,2.3,0.7,10000,0.966,0.9532,1,1,0.977224942786105,0.255647208504578,0
NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,3,1000,2.3,0.7,10000,0.9599,0.9514,1,1,0.566016129169515,0.197953433755255,0
Poisson lognormal,5,1000,2.3,0.7,10000,0.9667,0.9461,1,1,0.974465134943869,0.255673395264217,0
