population,phi,n,b1,b2,N,ch cov b,ch cov phi,fb cov b,fb cov phi,vg cov b,vg cov phi,hy cov b,hy cov phi,ch pow b,ch pow phi,fb pow b,fb pow phi,vg pow b,vg pow phi,hy pow b,hy pow phi,ch wid b,ch wid phi,fb wid b,fb wid phi,vg wid b,vg wid phi,hy wid b,hy wid phi,ch err,fb.err,vg err,hy err
1,1,30,-3,3,10000,0.945,0.968,0.97,0.997,0.972,0.034,0.963,0.996,0.578,0.472,0.533,0.56,0.032,0.003,0.966,0.004,5.605,1.142,6.044,2.209,5.766,13.315,5.823,1.142,0,0,0.7141,0
1,3,30,-3,3,10000,0.97,0.528,0.983,0.953,0.961,0.999,0.986,0.601,0.137,0.121,0.302,0.111,0.612,0.358,0.997,0.359,12.205,2.211,11.488,10.966,7.498,14.379,12.448,7.98,0,0,0.165,0
1,5,30,-3,3,10000,0.963,0.375,0.985,0.931,0.966,1,0.987,0.698,0.087,0.063,0.191,0.055,0.721,0.499,0.999,0.502,16.928,2.803,16.576,19.668,8.74,27.319,17.402,17.164,0,0,0.1462,0
2,3,30,-3,3,10000,0.975,0.766,0.985,0.986,0.963,1,0.991,0.822,0.066,0.074,0.234,0.044,0.834,0.554,0.999,0.556,14.899,2.886,13.401,15.998,8.531,21.714,15.128,14.476,0,0,0.0702,0
2,5,30,-3,3,10000,0.965,0.767,0.993,0.971,0.973,1,0.996,0.935,0.04,0.022,0.087,0.007,0.964,0.857,1,0.858,24.889,4.846,22.035,43.289,11.505,100.309,25.836,43.154,0,0,0.0547,0
3,3,30,-3,3,10000,0.975,0.773,0.986,0.985,0.962,1,0.992,0.828,0.065,0.072,0.22,0.043,0.84,0.552,0.999,0.553,14.958,2.893,13.274,16.187,8.459,21.994,15.175,14.825,0,0,0.071,0
3,5,30,-3,3,10000,0.966,0.76,0.994,0.971,0.975,1,0.995,0.936,0.04,0.02,0.086,0.009,0.965,0.852,1,0.854,24.952,4.836,21.836,42.628,11.516,100.074,25.915,42.535,0,0,0.0549,0
1,1,30,0.1,2.2,10000,0.931,0.955,0.948,0.929,0.967,0.059,0.951,0.963,1,1,1,1,0.045,0.071,0.941,0.037,1.372,1.171,1.379,1.013,1.454,7.435,1.382,1.171,0,0,0.6441,0
1,3,30,0.1,2.2,10000,0.99,0.896,0.948,0.904,0.933,0.99,0.97,0.899,0.612,0.947,0.988,0.612,0.95,0.953,1,0.937,3.868,3.27,2.385,3.716,2.099,3.778,3.802,3.715,0,0,0.0027,0
1,5,30,0.1,2.2,10000,0.996,0.844,0.955,0.893,0.938,0.941,0.981,0.893,0.227,0.796,0.949,0.227,0.997,0.996,1,0.995,6.158,5.149,3.076,7.118,2.516,6.62,6.154,7.118,0,0,0,0
2,3,30,0.1,2.2,10000,0.995,0.95,0.953,0.937,0.93,0.965,0.977,0.936,0.582,0.957,0.977,0.582,0.984,0.988,1,0.98,4.077,3.438,2.417,3.421,2.25,4.518,4.026,3.421,0,0,3e-04,0
2,5,30,0.1,2.2,10000,0.999,0.958,0.959,0.949,0.912,0.909,0.991,0.949,0.126,0.814,0.89,0.126,1,1,1,1,6.755,5.645,3.142,6.213,2.975,11.74,6.751,6.213,0,0,0,0
3,3,30,0.1,2.2,10000,0.995,0.952,0.954,0.939,0.931,0.967,0.976,0.939,0.59,0.961,0.98,0.59,0.985,0.988,1,0.982,4.053,3.422,2.411,3.383,2.245,4.505,3.995,3.383,0,0,1e-04,0
3,5,30,0.1,2.2,10000,0.999,0.954,0.958,0.949,0.915,0.906,0.992,0.949,0.119,0.803,0.888,0.119,1,1,1,1,6.793,5.666,3.168,6.244,2.977,11.923,6.79,6.244,0,0,0,0
1,1,30,2.3,0.7,10000,0.932,0.956,0.947,0.919,0.96,0.05,0.932,0.959,0.975,0.985,0.982,0.975,0.044,0.081,0.95,0.041,0.652,1.17,0.656,1.026,0.689,6.61,0.652,1.17,0,0,0.6368,0
1,3,30,2.3,0.7,10000,0.994,0.939,0.95,0.918,0.933,0.989,0.994,0.916,0.238,0.677,0.746,0.238,0.975,0.981,0.999,0.973,1.931,3.462,1.133,3.14,1.041,3.209,1.931,3.14,0,0,3e-04,0
1,5,30,2.3,0.7,10000,0.998,0.928,0.95,0.919,0.931,0.943,0.998,0.919,0.046,0.468,0.559,0.046,1,1,1,1,3.156,5.638,1.46,5.404,1.308,5.238,3.156,5.404,0,0,0,0
2,3,30,2.3,0.7,10000,0.995,0.952,0.95,0.926,0.93,0.979,0.995,0.924,0.23,0.68,0.734,0.23,0.981,0.986,1,0.979,1.949,3.497,1.135,3.078,1.061,3.323,1.949,3.077,0,0,4e-04,0
2,5,30,2.3,0.7,10000,0.999,0.954,0.949,0.929,0.923,0.91,0.999,0.929,0.037,0.459,0.53,0.037,1,1,1,1,3.261,5.806,1.472,5.109,1.399,6.161,3.261,5.109,0,0,0,0
