V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1,1,30,-3,3,10000,0.8501,0.9259,0.1499,0.7199,0.628536341790642,4.73702446879241,0
1,3,30,-3,3,10000,0.5757,0.9416,0.616,0.285,3.24305419191702,7.98063307429142,0
1,5,30,-3,3,10000,0.5638,0.9405,0.5646,0.1663,6.54227597823458,10.3762525656508,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,30,-3,3,10000,0.7326,0.9456,0.6833,0.2088,3.84200009608677,8.83149250094804,0
2,5,30,-3,3,10000,0.7198,0.9336,0.4525,0.0977,7.09563101915821,11.7516145027388,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,30,-3,3,10000,0.7236,0.943,0.6782,0.1987,3.91383364917886,8.93951946408357,0
3,5,30,-3,3,10000,0.7212,0.9328,0.4441,0.0951,7.07946634298169,11.5716247113991,0
1,1,30,0.1,2.2,10000,0.8489,0.9103,0.1511,1,0.925475941812421,1.18624769242222,0
1,3,30,0.1,2.2,10000,0.7739,0.9077,0.9855,0.9759,2.71145473834616,2.01942251645321,0
1,5,30,0.1,2.2,10000,0.7155,0.9017,0.9993,0.8837,4.70566710365305,2.58001805524171,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,30,0.1,2.2,10000,0.8225,0.9012,0.9959,0.9808,2.49997349055342,2.03921514005205,0
2,5,30,0.1,2.2,10000,0.805,0.9126,1,0.8943,3.913182856127,2.6377463671796,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,30,0.1,2.2,10000,0.8237,0.9148,0.9953,0.9819,2.50167751901058,2.04144634436825,0
3,5,30,0.1,2.2,10000,0.8022,0.9139,0.9999,0.8965,3.90455984537653,2.64798272629286,0
1,1,30,2.3,0.7,10000,0.8488,0.9055,0.1512,0.9938,0.965309643735227,0.565861461317099,0
1,3,30,2.3,0.7,10000,0.8307,0.9108,0.9934,0.7744,2.81798815725495,0.975498234391154,0
1,5,30,2.3,0.7,10000,0.8179,0.9124,0.9999,0.5817,4.60087034122963,1.25304237727664,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,30,2.3,0.7,10000,0.8463,0.9113,0.9956,0.7714,2.79889739605928,0.975434903324452,0
2,5,30,2.3,0.7,10000,0.8467,0.9102,1,0.5748,4.54908971374692,1.25944877920133,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,30,2.3,0.7,10000,0.8449,0.9083,0.995,0.7671,2.82764533280465,0.980059957373285,0
3,5,30,2.3,0.7,10000,0.8487,0.9124,1,0.5712,4.53384439554189,1.26071619568856,0
1,1,100,-3,3,10000,0.815,0.9019,0.185,0.9968,0.335474013835094,2.50978400377416,0
1,3,100,-3,3,10000,0.591,0.9093,0.9433,0.7936,2.15021254805347,4.21337646611595,0
1,5,100,-3,3,10000,0.5532,0.895,0.9497,0.6107,4.2264223627873,5.3585543178452,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,100,-3,3,10000,0.7174,0.9112,0.9844,0.7788,1.8375727700308,4.3926699953409,0
2,5,100,-3,3,10000,0.695,0.9198,0.9679,0.5525,3.10906834980084,5.81302528342049,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,100,-3,3,10000,0.7018,0.9054,0.9818,0.7829,1.78614388278225,4.35925542078173,0
3,5,100,-3,3,10000,0.7016,0.9207,0.9748,0.5525,3.15414201982782,5.78981657054274,0
1,1,100,0.1,2.2,10000,0.8797,0.9032,0.1203,1,0.460643104333799,0.637886790117723,0
1,3,100,0.1,2.2,10000,0.8208,0.9001,1,1,1.57336620321602,1.10581444648787,0
1,5,100,0.1,2.2,10000,0.7758,0.9062,1,0.9998,2.88525155822657,1.42306327677572,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,100,0.1,2.2,10000,0.854,0.899,1,1,1.35897087264443,1.10549908081198,0
2,5,100,0.1,2.2,10000,0.8461,0.9053,1,1,2.1815791688562,1.43098465822996,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,100,0.1,2.2,10000,0.8511,0.9066,1,1,1.35411145128607,1.10825352637008,0
3,5,100,0.1,2.2,10000,0.8426,0.9037,1,0.9998,2.17384008964298,1.42977153298263,0
1,1,100,2.3,0.7,10000,0.8826,0.8978,0.1174,1,0.475867702815411,0.305787854615361,0
1,3,100,2.3,0.7,10000,0.8715,0.9034,1,0.9976,1.44514333232038,0.528182543039163,0
1,5,100,2.3,0.7,10000,0.8528,0.907,1,0.9601,2.48007378933452,0.68106118173837,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,100,2.3,0.7,10000,0.8724,0.9014,1,0.9967,1.40818623823169,0.529140039789672,0
2,5,100,2.3,0.7,10000,0.8756,0.9043,1,0.9603,2.30419726107665,0.681589763434401,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,100,2.3,0.7,10000,0.8798,0.9015,1,0.997,1.40135906962144,0.527946119869088,0
3,5,100,2.3,0.7,10000,0.8739,0.9034,1,0.9606,2.30081387279854,0.682709952023335,0
